stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\清大\大一下\程設二\mini project 2\mini project 2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13508] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13509] added dtor for sample_instance 0000000002C47F30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13510] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13511] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13512] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13513] added dtor for sample_instance 0000000002C49EB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13514] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13515] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13515] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13516] added dtor for sample_instance 0000000002C497F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13517] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13518] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13519] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13520] added dtor for sample_instance 0000000002C47870, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13521] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13522] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13522] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13524] added dtor for sample_instance 0000000002C485F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13525] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13525] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13526] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13527] added dtor for sample_instance 0000000002C47CF0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13528] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13529] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13530] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13531] added dtor for sample_instance 0000000002C47990, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13532] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13533] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13534] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13535] added dtor for sample_instance 0000000002C49A30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13536] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13537] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13537] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13539] added dtor for sample_instance 0000000002C47AB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13540] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13540] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13541] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13542] added dtor for sample_instance 0000000002C48050, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13543] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13544] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13545] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13546] added dtor for sample_instance 0000000002C48290, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13547] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13548] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13548] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13550] added dtor for sample_instance 0000000002C49910, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13550] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13551] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13552] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13553] added dtor for sample_instance 0000000002C48710, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13554] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13555] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13555] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13557] added dtor for sample_instance 0000000002C483B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13557] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13558] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13559] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13560] added dtor for sample_instance 0000000002C484D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13560] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13561] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13562] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13566] added dtor for sample_instance 0000000002C4DB20, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13567] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13568] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13568] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13569] added dtor for sample_instance 0000000002C4B600, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13570] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13571] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13571] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13573] added dtor for sample_instance 0000000002C4D220, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13574] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13574] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13575] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13576] added dtor for sample_instance 0000000002C4C5C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13577] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13578] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13579] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13581] added dtor for sample_instance 0000000002C4C140, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13582] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13582] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13583] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13584] added dtor for sample_instance 0000000002C4D460, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13585] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13589] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13590] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13593] added dtor for sample_instance 0000000002C4E1E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13600] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13600] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13601] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13603] added dtor for sample_instance 0000000002C4D8E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13605] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13605] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13606] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13607] added dtor for sample_instance 0000000002C4C260, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13608] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13609] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13609] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13611] added dtor for sample_instance 0000000002C4D580, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13612] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13613] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13616] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13618] added dtor for sample_instance 0000000002C4E8A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13619] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13620] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13621] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13622] added dtor for sample_instance 0000000002C4D7C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13623] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13623] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13624] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13625] added dtor for sample_instance 0000000002C4EAE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13626] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13627] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13627] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13629] added dtor for sample_instance 0000000002C4D6A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13630] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13631] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13631] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13633] added dtor for sample_instance 0000000002C4B960, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13634] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13634] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13635] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13636] added dtor for sample_instance 0000000002C4B720, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13637] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13638] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13639] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13640] added dtor for sample_instance 0000000002C4E9C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13642] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13642] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13643] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13647] added dtor for sample_instance 0000000002C4EC00, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13648] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13649] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13650] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13651] added dtor for sample_instance 0000000002C4DC40, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13652] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13653] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13654] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13657] added dtor for sample_instance 0000000002C4DD60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13659] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13660] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13660] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13662] added dtor for sample_instance 0000000002C4E660, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13663] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13664] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13665] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13666] added dtor for sample_instance 0000000002C4B840, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13667] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13668] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13669] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13670] added dtor for sample_instance 0000000002C4ED20, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13671] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13672] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13672] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13674] added dtor for sample_instance 0000000002C4EE40, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13675] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13675] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13676] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13677] added dtor for sample_instance 0000000002C4BA80, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13678] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13679] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13680] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13681] added dtor for sample_instance 0000000002C4DA00, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13682] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13683] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13683] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13685] added dtor for sample_instance 0000000002C4D100, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13686] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13687] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13687] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13689] added dtor for sample_instance 0000000002C4DE80, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13690] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13691] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13691] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13693] added dtor for sample_instance 0000000002C4C020, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13694] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13695] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13695] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13697] added dtor for sample_instance 0000000002C4BBA0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13698] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13699] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13700] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13701] added dtor for sample_instance 0000000002C4EF60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13702] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13703] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13703] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13705] added dtor for sample_instance 0000000002C4D340, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13706] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13707] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13707] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13709] added dtor for sample_instance 0000000002C4F080, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13709] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13710] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13711] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13712] added dtor for sample_instance 0000000002C4DFA0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13713] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13714] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13715] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13716] added dtor for sample_instance 0000000002C4E780, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13717] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13718] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13718] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13720] added dtor for sample_instance 0000000002C4BF00, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13721] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13722] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13723] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13724] added dtor for sample_instance 0000000002C4BCC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13725] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13726] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13726] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13728] added dtor for sample_instance 0000000002C4CDA0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13729] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13729] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13730] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13732] added dtor for sample_instance 0000000002C4C380, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13733] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13745] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13746] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13748] added dtor for sample_instance 0000000002C4BDE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13749] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13750] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13750] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13752] added dtor for sample_instance 0000000002C4E0C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13753] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13754] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13754] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13756] added dtor for sample_instance 0000000002C4B3C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13757] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13757] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13758] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13759] added dtor for sample_instance 0000000002C4E540, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13760] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13761] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13762] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13763] added dtor for sample_instance 0000000002C4C4A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13764] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13765] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13766] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13767] added dtor for sample_instance 0000000002C4C6E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13768] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13769] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13769] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13771] added dtor for sample_instance 0000000002C4E300, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13772] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13773] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13773] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13775] added dtor for sample_instance 0000000002C4C800, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13776] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13777] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13777] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13779] added dtor for sample_instance 0000000002C4E420, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13780] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13781] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13781] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13783] added dtor for sample_instance 0000000002C4F1A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13789] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13790] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13791] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13793] added dtor for sample_instance 0000000002C4B4E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13794] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13795] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13795] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13797] added dtor for sample_instance 0000000002C4C920, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13798] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13798] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13799] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13800] added dtor for sample_instance 0000000002C4CA40, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13801] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13802] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13803] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13804] added dtor for sample_instance 0000000002C4CB60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13805] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13806] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13806] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13808] added dtor for sample_instance 0000000002C4CC80, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13809] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13809] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13810] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13811] added dtor for sample_instance 0000000002C4CEC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13812] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13813] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13813] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13815] added dtor for sample_instance 0000000002C4CFE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13816] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13816] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13817] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13822] added dtor for sample_instance 0000000002C52E70, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13823] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13824] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13825] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13826] added dtor for sample_instance 0000000002C52F90, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13827] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13828] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13829] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13831] added dtor for sample_instance 0000000002C51C70, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13832] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13833] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13833] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13835] added dtor for sample_instance 0000000002C52330, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13836] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13836] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13837] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13839] added dtor for sample_instance 0000000002C52570, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.13839] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13840] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.13841] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.13843] added dtor for sample_instance 0000000002C51910, func 0000000061BE32C3
